iter,time,reward,steps,convergence
1,0.042140687999999926,-100.32,151.82,79.8
2,0.07119945299999841,75.84,26.16,47.31086055166751
3,0.10771059199999655,75.72,26.28,55.550081741014125
4,0.14555735199999376,76.8,25.2,56.83242301660857
5,0.18079794599999488,76.62,25.38,16.37772196442727
6,0.21789981999999242,75.7,26.3,13.686551173753422
7,0.2409424079999951,76.52,25.48,10.218486018647877
8,0.26421339599999527,75.74,26.26,3.9029291817889415
9,0.28300051699999784,75.98,26.02,0.13493964338142916
10,0.2862221139999974,76.26,25.74,0.0003216641865577685
11,0.2891909439999978,77.08,24.92,0.00010706810008542789
12,0.2924829520000003,75.46,26.54,3.6353476289718856e-05
13,0.2956334700000056,76.1,25.9,1.2535231853405548e-05
14,0.29876722400000233,75.68,26.32,4.375913249532459e-06
15,0.3019639010000006,76.2,25.8,1.5431223019390927e-06
16,0.30721333799999684,77.02,24.98,5.488312382340155e-07
