iter,time,reward,steps,convergence
1,0.005021313999999499,-195.24,196.92,89.19
2,0.007668333999999888,-196.44,198.2,79.299
3,0.013240176000000048,-195.06,198.72,69.399
4,0.01598486200000071,-193.62,195.6,59.499
5,0.01880588100000047,-202.0,197.04,49.599000000000004
6,0.020396097999999974,-261.0,194.64,39.789
7,0.022984834999999926,-186.54,194.54,29.898000000000003
8,0.025696592999999268,-197.22,199.52,19.998
9,0.028388061999999437,-198.08,199.48,10.098000000000003
10,0.031009336999999526,-196.04,197.8,0.2059793468255336
