iter,time,reward,steps,convergence
1,0.001825263000000632,-202.6,200.0,91.8
2,0.0034301509999998814,-199.0,200.0,82.15038
3,0.005813266000000539,-199.0,200.0,73.09983839282293
4,0.006976632000000649,-199.18,200.0,72.19983839282293
5,0.008563548000001475,-199.0,200.0,62.53305780059911
6,0.009449692000000454,-199.0,200.0,52.8537184622589
7,0.010434937999999505,-127.16,170.58,50.11540079207519
8,0.011144548000000754,-44.06,119.62,46.105776266747306
9,0.011350870000001123,-199.18,200.0,43.90777892086633
10,0.011509464000003078,-187.78,194.84,37.72012397456841
11,0.01275884300000385,-175.36,187.0,43.549080727442586
12,0.013275173000003804,-154.32,176.46,46.45360628530344
13,0.01361407400000303,3.02,80.44,53.910979038052986
14,0.014103645000002274,54.62,39.3,53.44099875205444
15,0.014190487000000473,29.94,55.9,61.021303802730884
16,0.01428851100000017,-16.06,96.92,68.47145214098434
17,0.014459217999998941,0.6,79.18,63.081915600227475
18,0.014687501000000935,-13.76,89.5,65.63213699475291
19,0.015412150000003066,76.38,25.62,66.78915989014772
20,0.01574730000000457,74.22,27.78,68.78871909823343
21,0.015826627000006255,76.18,25.82,62.7683264697924
22,0.015929007000007545,75.82,26.18,62.456420989488905
23,0.016049866000010127,77.04,24.96,62.61684362775302
24,0.01615146800000744,75.72,26.28,56.094898298431985
25,0.016250618000007933,60.18,41.82,49.65014353452305
26,0.016352659000009595,62.54,39.46,42.51936883111806
27,0.01642173000000824,76.84,25.16,43.08274957072939
28,0.016509737000006908,67.08,32.9,41.886318920258375
29,0.016597987000004366,76.14,25.86,41.29756407208928
30,0.0166798250000042,61.12,40.88,36.018761915220374
31,0.016782335000005588,74.98,27.02,34.68580649245183
32,0.01685111700000519,56.42,43.56,33.03482163606013
33,0.01693159800000288,76.4,25.6,24.956767537367273
34,0.01702057400000001,60.56,41.44,23.827888574588805
35,0.017114499999998145,75.7,26.3,22.830487313669835
36,0.0171918859999991,22.74,75.22,23.165980509504553
37,0.01746113500000135,60.5,41.5,21.36250834897618
38,0.01760141100000112,59.96,42.04,22.426252288537462
39,0.017691710000001137,14.88,85.1,22.33137942215868
40,0.017811954000002572,55.1,44.88,22.63158688050062
41,0.0179419890000041,3.28,92.66,22.269318974902724
42,0.01804218000000546,71.58,28.4,21.8025621519207
43,0.01812883900000628,75.66,26.34,22.49215978623796
44,0.018261151000007914,47.44,54.56,22.712355358205887
45,0.018353804000010854,54.28,47.72,23.27816469272866
46,0.018438469000010116,75.2,26.8,23.289716074603774
47,0.01853075900000789,77.02,24.98,23.266357960983406
48,0.018604127000006798,-25.26,110.92,23.564590797359944
49,0.018887982000006076,-41.54,115.26,22.074678732431828
50,0.019196605000008304,47.3,49.76,22.15926627822551
51,0.019565487000008375,18.88,81.1,22.328269412082733
52,0.019652758000010095,75.38,26.62,22.095668949186837
53,0.01972104400001129,57.74,44.26,21.707336639099896
54,0.019795739000013413,71.22,30.02,21.098913333978754
55,0.019871020000014283,75.64,26.36,20.730240334576624
56,0.019955610000014445,55.68,45.02,20.469226969578948
57,0.0200731310000144,74.38,27.62,20.40966752074134
58,0.02017127100001659,75.16,26.84,12.131415522602634
59,0.02030707200001558,27.38,74.62,6.533571775609064
60,0.020502388000018357,67.22,32.76,6.443801531268089
61,0.020645046000016265,75.38,26.62,6.222373301468906
62,0.020747586000016582,0.02,94.08,6.331450320268559
63,0.021014519000015497,74.68,27.32,6.12573915763347
64,0.021146135000016386,74.66,27.34,6.380538573598476
65,0.021246019000017213,54.84,45.14,6.532390143333023
66,0.021426170000015787,57.64,44.36,6.538116788451923
67,0.022146907000013982,60.92,41.08,11.899369600239774
68,0.02261246000001549,-126.46,167.86,13.115266215999949
69,0.022892634000015732,59.22,42.78,13.951899341462275
70,0.023006393000013503,75.52,26.48,15.052881263338033
71,0.023179910000010295,40.16,61.84,16.95168249691426
72,0.023282189000010334,38.16,63.84,18.273435555246163
73,0.023405913000011935,70.72,31.28,18.90681197592868
74,0.023600933000011537,75.58,26.42,18.936180966701553
75,0.02372716500001104,75.82,26.18,19.10714281486426
76,0.023925350000013168,57.92,44.08,19.198432364078464
77,0.024038241000013727,45.04,56.96,14.495880232976678
78,0.024158281000012494,57.16,44.84,13.926677827702656
79,0.024230306000010415,59.38,42.62,13.782839061603877
80,0.024366790000009075,76.02,25.98,13.742622948456557
