iter,time,reward,steps,convergence
1,0.038057383,-196.34,199.36,79.8
2,0.05583814899999995,-199.0,200.0,38.25322453333334
3,0.07283250800000007,-191.08,195.68,27.692256791091395
4,0.09764798399999997,-145.42,164.38,19.049897755421412
5,0.10829580599999966,-120.88,151.14,18.513045798721798
6,0.14099305599999923,17.8,39.62,16.39507669731188
7,0.17188547999999848,32.34,25.08,14.736304323974693
8,0.19628224599999822,32.48,24.82,14.113332671568884
9,0.21618571799999753,31.44,25.66,12.577732099769714
10,0.23409674599999786,33.98,24.74,11.896468201220983
11,0.2565751369999978,73.0,25.2,11.61785016699605
12,0.28967143599999723,76.08,25.92,11.177530191513132
13,0.3138156979999973,76.1,25.9,9.876410502229785
14,0.3424866509999971,76.74,25.26,9.563324886878647
15,0.37133166399999773,76.1,25.9,8.091006173666017
16,0.3906328969999979,75.02,26.98,6.146520994696289
17,0.4041222069999977,76.04,25.96,5.899436127139992
18,0.4241599789999979,76.1,25.9,5.198496059298549
19,0.43571726599999927,75.46,26.54,4.72129488814268
20,0.4416382309999989,76.18,25.82,4.402959309755669
21,0.44616703199999996,75.7,26.3,3.6421780666126153
22,0.47153500699999995,75.72,26.28,2.7308056108276517
23,0.48747908100000004,76.06,25.94,1.9091558762699492
24,0.5059595049999999,76.44,25.56,1.4315621592825423
25,0.5226380039999992,75.28,26.72,1.2563436724914894
26,0.541389667999999,76.98,25.02,0.8675589736576228
27,0.5566020309999988,76.1,25.9,0.5527603726833661
28,0.5709684929999987,75.18,26.82,0.3364263695055598
29,0.5868243699999987,75.3,26.7,0.1981439969900194
30,0.5973134439999992,75.52,26.48,0.11368382023680113
31,0.6163112799999997,77.0,25.0,0.06380559294746035
32,0.6349117979999992,76.7,25.3,0.035136156122135276
33,0.6522758409999998,76.72,25.28,0.01902744179646021
34,0.7031089819999998,75.14,26.86,0.010151762374583484
35,0.7198704649999996,76.36,25.64,0.005344511242370231
36,0.741172293,75.34,26.66,0.002780040803585848
37,0.7473996940000003,76.44,25.56,0.0014304232500279568
38,0.7535490310000004,76.08,25.92,0.0007287513546003765
39,0.7630411909999992,75.82,26.18,0.0003679386641834981
40,0.768700106999999,76.58,25.42,0.00018424233876146445
41,0.7745844899999987,76.54,25.46,9.156331582715893e-05
42,0.7867373809999982,76.24,25.76,4.518978927592343e-05
43,0.7932371649999972,76.3,25.7,2.2160895305489703e-05
44,0.8001242019999975,76.12,25.88,1.0803890987176601e-05
45,0.8059308659999989,76.4,25.6,5.238608167701386e-06
46,0.8109610059999994,76.14,25.86,2.5273946704373884e-06
47,0.815053571,76.16,25.84,1.2137074492102329e-06
48,0.8203946299999991,76.2,25.8,5.803456630815162e-07
