iter,time,reward,steps,convergence
1,0.33748531899999534,-299.0,300.0,83.89376220000001
2,0.6322126909999923,-299.54,300.0,82.27454551044127
3,0.8147660559999821,-299.0,300.0,85.09310042189806
4,0.9752840879999809,-299.0,300.0,71.76596769053779
5,1.1315502439999818,-261.15,276.15,65.78130798340328
6,1.3858932439999734,35.01,52.83,64.31240850025767
7,1.5746368179999735,38.89,51.41,53.697408031134174
8,1.7547550429999745,37.77,51.9,50.1162338078084
9,1.9504631289999708,37.33,52.34,0.2259240940173548
10,1.9898050599999664,34.77,53.64,0.00039054189547549356
11,2.0108256379999716,36.5,52.19,0.0001844206406058646
12,2.0326710659999634,36.94,52.24,8.789656173568972e-05
13,2.0669390209999676,35.96,53.04,4.281515069060049e-05
14,2.089480095999974,37.08,52.01,2.2450755247760412e-05
15,2.110492884999985,38.04,51.45,1.1362399462200301e-05
16,2.1326961339999855,36.58,52.73,5.599004758494175e-06
17,2.1604340539999782,37.03,53.09,2.7035780334472292e-06
18,2.1816892319999823,37.12,51.25,1.2854585786925554e-06
19,2.203683192999975,36.1,52.49,6.041067912576636e-07
