iter,time,reward,steps,convergence
1,0.0033669010000001443,-535.18,300.0,89.1
2,0.005231253000000269,-488.66,300.0,79.69
3,0.007168703000000054,-474.7,300.0,69.78999999999999
4,0.009260719999999889,-446.48,299.24,59.98
5,0.010448319999999622,-387.5,300.0,50.08
6,0.011610238999999911,-358.01,300.0,40.269999999999996
7,0.012868472000000075,-362.67,300.0,30.45999999999999
8,0.014817236000000289,-362.93,299.96,20.569000000000003
9,0.015804004000000038,-372.78,300.0,10.669000000000002
10,0.017436797999999865,-402.89,300.0,1.2590000000000032
11,0.03680038800000007,-351.55,300.0,1.3490000000000038
12,0.03798327300000004,-360.87,299.37,0.9490000000000037
13,0.03894235299999993,-388.65,299.55,0.9490000000000037
14,0.040276383999999776,-381.51,299.08,0.8590000000000032
15,0.04146521000000014,-350.99,299.97,1.1490000000000038
16,0.0424938130000001,-357.66,299.38,1.1409000000000034
17,0.04339847900000038,-332.6,300.0,1.0599000000000032
18,0.045626655000000405,-334.28,300.0,1.0509000000000028
19,0.04655819200000044,-312.2,300.0,1.0509000000000028
20,0.04758644400000067,-322.49,299.16,0.6419000000000026
21,0.04847345700000094,-328.82,300.0,0.6419000000000026
22,0.04939626700000099,-317.59,300.0,0.551900000000002
23,0.05031047900000152,-308.25,300.0,0.5591171000000017
24,0.05124932700000162,-353.27,299.7,1.0491171000000024
25,0.05213875800000167,-345.08,299.45,0.8491171000000023
26,0.05302897000000151,-367.9,299.0,1.2572171000000025
27,0.05392662700000184,-306.73,300.0,1.2489529787925917
28,0.05480566500000261,-304.64,300.0,1.2490613372932102
29,0.05620968900000278,-322.98,300.0,1.2495852477131835
30,0.05709708800000257,-299.54,300.0,1.168593089881631
31,0.057992032000003135,-301.88,300.0,1.0785930899986382
32,0.058947983000003035,-300.26,300.0,1.079672225141239
33,0.05990651000000291,-303.47,300.0,1.0724551253600694
34,0.060786255000003564,-303.05,300.0,0.5824551253656096
35,0.06166518700000356,-299.45,300.0,0.4924551253703456
